Epoch : 26 Iter : 100 VAT_l_f Loss : tensor(-3.7143e-08, device='cuda:0') Meta Loss : tensor(2.3017, device='cuda:0')
Epoch : 26 Iter : 200 VAT_l_f Loss : tensor(5.7582e-08, device='cuda:0') Meta Loss : tensor(2.2892, device='cuda:0')
Epoch : 26 Iter : 300 VAT_l_f Loss : tensor(-8.3519e-08, device='cuda:0') Meta Loss : tensor(2.3512, device='cuda:0')
Epoch : 27 Iter : 0 VAT_l_f Loss : tensor(3.0289e-08, device='cuda:0') Meta Loss : tensor(2.3119, device='cuda:0')
Epoch : 27 Iter : 100 VAT_l_f Loss : tensor(3.2453e-07, device='cuda:0') Meta Loss : tensor(2.2991, device='cuda:0')
Epoch : 27 Iter : 200 VAT_l_f Loss : tensor(3.2955e-08, device='cuda:0') Meta Loss : tensor(2.3015, device='cuda:0')
Epoch : 27 Iter : 300 VAT_l_f Loss : tensor(-9.3830e-09, device='cuda:0') Meta Loss : tensor(2.2761, device='cuda:0')
Epoch : 28 Iter : 0 VAT_l_f Loss : tensor(4.2301e-08, device='cuda:0') Meta Loss : tensor(2.3597, device='cuda:0')
Epoch : 28 Iter : 100 VAT_l_f Loss : tensor(5.6489e-08, device='cuda:0') Meta Loss : tensor(2.2792, device='cuda:0')
Epoch : 28 Iter : 200 VAT_l_f Loss : tensor(9.4270e-09, device='cuda:0') Meta Loss : tensor(2.3368, device='cuda:0')
Epoch : 28 Iter : 300 VAT_l_f Loss : tensor(-2.4568e-09, device='cuda:0') Meta Loss : tensor(2.2841, device='cuda:0')
Epoch : 29 Iter : 0 VAT_l_f Loss : tensor(-1.1461e-08, device='cuda:0') Meta Loss : tensor(2.2641, device='cuda:0')
Epoch : 29 Iter : 100 VAT_l_f Loss : tensor(-2.8669e-08, device='cuda:0') Meta Loss : tensor(2.3360, device='cuda:0')
Epoch : 29 Iter : 200 VAT_l_f Loss : tensor(2.9590e-08, device='cuda:0') Meta Loss : tensor(2.3102, device='cuda:0')
Epoch : 29 Iter : 300 VAT_l_f Loss : tensor(-2.4070e-08, device='cuda:0') Meta Loss : tensor(2.2989, device='cuda:0')
Epoch : 30 Iter : 0 VAT_l_f Loss : tensor(2.3502e-08, device='cuda:0') Meta Loss : tensor(2.2905, device='cuda:0')
Epoch : 30 Iter : 100 VAT_l_f Loss : tensor(-1.4184e-08, device='cuda:0') Meta Loss : tensor(2.2972, device='cuda:0')
Epoch : 30 Iter : 200 VAT_l_f Loss : tensor(1.2451e-08, device='cuda:0') Meta Loss : tensor(2.3149, device='cuda:0')
Epoch : 30 Iter : 300 VAT_l_f Loss : tensor(4.0286e-08, device='cuda:0') Meta Loss : tensor(2.3638, device='cuda:0')
Train accuracy : tensor(0.1875, device='cuda:0')
Test accuracy : tensor(0.1000, device='cuda:0')
Epoch : 31 Iter : 0 VAT_l_f Loss : tensor(-2.2661e-08, device='cuda:0') Meta Loss : tensor(2.3343, device='cuda:0')
Epoch : 31 Iter : 100 VAT_l_f Loss : tensor(-1.3585e-08, device='cuda:0') Meta Loss : tensor(2.3513, device='cuda:0')
Epoch : 31 Iter : 200 VAT_l_f Loss : tensor(8.1962e-09, device='cuda:0') Meta Loss : tensor(2.3193, device='cuda:0')
Epoch : 31 Iter : 300 VAT_l_f Loss : tensor(-5.5441e-08, device='cuda:0') Meta Loss : tensor(2.3417, device='cuda:0')
Epoch : 32 Iter : 0 VAT_l_f Loss : tensor(5.1909e-08, device='cuda:0') Meta Loss : tensor(2.2897, device='cuda:0')
Epoch : 32 Iter : 100 VAT_l_f Loss : tensor(-2.7229e-08, device='cuda:0') Meta Loss : tensor(2.2886, device='cuda:0')
Epoch : 32 Iter : 200 VAT_l_f Loss : tensor(-1.4497e-08, device='cuda:0') Meta Loss : tensor(2.2620, device='cuda:0')
Epoch : 32 Iter : 300 VAT_l_f Loss : tensor(-3.3475e-08, device='cuda:0') Meta Loss : tensor(2.2772, device='cuda:0')
Epoch : 33 Iter : 0 VAT_l_f Loss : tensor(1.0884e-09, device='cuda:0') Meta Loss : tensor(2.2631, device='cuda:0')
Epoch : 33 Iter : 100 VAT_l_f Loss : tensor(-2.8231e-08, device='cuda:0') Meta Loss : tensor(2.3037, device='cuda:0')
Epoch : 33 Iter : 200 VAT_l_f Loss : tensor(-1.7395e-08, device='cuda:0') Meta Loss : tensor(2.3143, device='cuda:0')
Epoch : 33 Iter : 300 VAT_l_f Loss : tensor(4.4073e-08, device='cuda:0') Meta Loss : tensor(2.2982, device='cuda:0')
Epoch : 34 Iter : 0 VAT_l_f Loss : tensor(3.1603e-08, device='cuda:0') Meta Loss : tensor(2.3059, device='cuda:0')
Epoch : 34 Iter : 100 VAT_l_f Loss : tensor(3.6941e-08, device='cuda:0') Meta Loss : tensor(2.3637, device='cuda:0')
Epoch : 34 Iter : 200 VAT_l_f Loss : tensor(6.3267e-08, device='cuda:0') Meta Loss : tensor(2.2958, device='cuda:0')
Epoch : 34 Iter : 300 VAT_l_f Loss : tensor(7.0306e-08, device='cuda:0') Meta Loss : tensor(2.2859, device='cuda:0')
Epoch : 35 Iter : 0 VAT_l_f Loss : tensor(-6.9066e-08, device='cuda:0') Meta Loss : tensor(2.3441, device='cuda:0')
Epoch : 35 Iter : 100 VAT_l_f Loss : tensor(1.5968e-08, device='cuda:0') Meta Loss : tensor(2.2542, device='cuda:0')
Epoch : 35 Iter : 200 VAT_l_f Loss : tensor(-3.3089e-08, device='cuda:0') Meta Loss : tensor(2.3149, device='cuda:0')
Epoch : 35 Iter : 300 VAT_l_f Loss : tensor(-5.6277e-09, device='cuda:0') Meta Loss : tensor(2.3149, device='cuda:0')
Train accuracy : tensor(0.1875, device='cuda:0')
Test accuracy : tensor(0.1200, device='cuda:0')
Epoch : 36 Iter : 0 VAT_l_f Loss : tensor(9.8221e-09, device='cuda:0') Meta Loss : tensor(2.2712, device='cuda:0')
Epoch : 36 Iter : 100 VAT_l_f Loss : tensor(2.1139e-07, device='cuda:0') Meta Loss : tensor(2.2722, device='cuda:0')
Epoch : 36 Iter : 200 VAT_l_f Loss : tensor(2.8893e-08, device='cuda:0') Meta Loss : tensor(2.2620, device='cuda:0')
Epoch : 36 Iter : 300 VAT_l_f Loss : tensor(4.5185e-08, device='cuda:0') Meta Loss : tensor(2.2698, device='cuda:0')
Epoch : 37 Iter : 0 VAT_l_f Loss : tensor(3.8595e-08, device='cuda:0') Meta Loss : tensor(2.2920, device='cuda:0')
Epoch : 37 Iter : 100 VAT_l_f Loss : tensor(-4.2296e-08, device='cuda:0') Meta Loss : tensor(2.3447, device='cuda:0')
Epoch : 37 Iter : 200 VAT_l_f Loss : tensor(-4.9363e-08, device='cuda:0') Meta Loss : tensor(2.3125, device='cuda:0')
Epoch : 37 Iter : 300 VAT_l_f Loss : tensor(3.1559e-08, device='cuda:0') Meta Loss : tensor(2.3421, device='cuda:0')
Epoch : 38 Iter : 0 VAT_l_f Loss : tensor(1.0311e-08, device='cuda:0') Meta Loss : tensor(2.2873, device='cuda:0')
Epoch : 38 Iter : 100 VAT_l_f Loss : tensor(-6.3933e-08, device='cuda:0') Meta Loss : tensor(2.3363, device='cuda:0')
Epoch : 38 Iter : 200 VAT_l_f Loss : tensor(-8.1650e-08, device='cuda:0') Meta Loss : tensor(2.2945, device='cuda:0')
Epoch : 38 Iter : 300 VAT_l_f Loss : tensor(4.8292e-07, device='cuda:0') Meta Loss : tensor(2.3749, device='cuda:0')
Epoch : 39 Iter : 0 VAT_l_f Loss : tensor(5.1136e-08, device='cuda:0') Meta Loss : tensor(2.2587, device='cuda:0')
Epoch : 39 Iter : 100 VAT_l_f Loss : tensor(-1.4901e-08, device='cuda:0') Meta Loss : tensor(2.3111, device='cuda:0')
Epoch : 39 Iter : 200 VAT_l_f Loss : tensor(-2.6491e-08, device='cuda:0') Meta Loss : tensor(2.4102, device='cuda:0')
Epoch : 39 Iter : 300 VAT_l_f Loss : tensor(-4.3915e-08, device='cuda:0') Meta Loss : tensor(2.3601, device='cuda:0')
Epoch : 40 Iter : 0 VAT_l_f Loss : tensor(3.7504e-08, device='cuda:0') Meta Loss : tensor(2.4162, device='cuda:0')
Epoch : 40 Iter : 100 VAT_l_f Loss : tensor(-2.3073e-08, device='cuda:0') Meta Loss : tensor(2.3770, device='cuda:0')
Epoch : 40 Iter : 200 VAT_l_f Loss : tensor(1.0401e-08, device='cuda:0') Meta Loss : tensor(2.2026, device='cuda:0')
Epoch : 40 Iter : 300 VAT_l_f Loss : tensor(-1.1213e-08, device='cuda:0') Meta Loss : tensor(2.3138, device='cuda:0')
Train accuracy : tensor(0.0312, device='cuda:0')
Test accuracy : tensor(0.0600, device='cuda:0')
Epoch : 41 Iter : 0 VAT_l_f Loss : tensor(3.7844e-09, device='cuda:0') Meta Loss : tensor(2.3180, device='cuda:0')
Epoch : 41 Iter : 100 VAT_l_f Loss : tensor(-1.1761e-08, device='cuda:0') Meta Loss : tensor(2.3841, device='cuda:0')
Epoch : 41 Iter : 200 VAT_l_f Loss : tensor(5.3684e-08, device='cuda:0') Meta Loss : tensor(2.3000, device='cuda:0')
Epoch : 41 Iter : 300 VAT_l_f Loss : tensor(2.9965e-08, device='cuda:0') Meta Loss : tensor(2.2222, device='cuda:0')
Epoch : 42 Iter : 0 VAT_l_f Loss : tensor(-1.2446e-08, device='cuda:0') Meta Loss : tensor(2.3707, device='cuda:0')
Epoch : 42 Iter : 100 VAT_l_f Loss : tensor(-3.6946e-08, device='cuda:0') Meta Loss : tensor(2.3109, device='cuda:0')
Epoch : 42 Iter : 200 VAT_l_f Loss : tensor(-2.6258e-08, device='cuda:0') Meta Loss : tensor(2.3821, device='cuda:0')
Epoch : 42 Iter : 300 VAT_l_f Loss : tensor(3.9551e-08, device='cuda:0') Meta Loss : tensor(2.3533, device='cuda:0')
Epoch : 43 Iter : 0 VAT_l_f Loss : tensor(5.7450e-08, device='cuda:0') Meta Loss : tensor(2.3296, device='cuda:0')
Epoch : 43 Iter : 100 VAT_l_f Loss : tensor(-6.3111e-09, device='cuda:0') Meta Loss : tensor(2.3652, device='cuda:0')
Epoch : 43 Iter : 200 VAT_l_f Loss : tensor(-4.6749e-08, device='cuda:0') Meta Loss : tensor(2.2731, device='cuda:0')
Epoch : 43 Iter : 300 VAT_l_f Loss : tensor(7.3284e-09, device='cuda:0') Meta Loss : tensor(2.3265, device='cuda:0')
Epoch : 44 Iter : 0 VAT_l_f Loss : tensor(-1.5522e-09, device='cuda:0') Meta Loss : tensor(2.2760, device='cuda:0')
Epoch : 44 Iter : 100 VAT_l_f Loss : tensor(1.3317e-07, device='cuda:0') Meta Loss : tensor(2.3425, device='cuda:0')
Epoch : 44 Iter : 200 VAT_l_f Loss : tensor(4.1520e-08, device='cuda:0') Meta Loss : tensor(2.2905, device='cuda:0')
Epoch : 44 Iter : 300 VAT_l_f Loss : tensor(-3.4891e-08, device='cuda:0') Meta Loss : tensor(2.3318, device='cuda:0')
Epoch : 45 Iter : 0 VAT_l_f Loss : tensor(-2.2474e-08, device='cuda:0') Meta Loss : tensor(2.2591, device='cuda:0')
Epoch : 45 Iter : 100 VAT_l_f Loss : tensor(-2.2779e-09, device='cuda:0') Meta Loss : tensor(2.2637, device='cuda:0')
Epoch : 45 Iter : 200 VAT_l_f Loss : tensor(3.4707e-08, device='cuda:0') Meta Loss : tensor(2.3346, device='cuda:0')
Epoch : 45 Iter : 300 VAT_l_f Loss : tensor(3.3642e-08, device='cuda:0') Meta Loss : tensor(2.3340, device='cuda:0')
Train accuracy : tensor(0.0938, device='cuda:0')
Test accuracy : tensor(0.0900, device='cuda:0')
Epoch : 46 Iter : 0 VAT_l_f Loss : tensor(-4.5743e-08, device='cuda:0') Meta Loss : tensor(2.3436, device='cuda:0')
Epoch : 46 Iter : 100 VAT_l_f Loss : tensor(2.0508e-08, device='cuda:0') Meta Loss : tensor(2.3039, device='cuda:0')
Epoch : 46 Iter : 200 VAT_l_f Loss : tensor(0., device='cuda:0') Meta Loss : tensor(2.2911, device='cuda:0')
Epoch : 46 Iter : 300 VAT_l_f Loss : tensor(2.2517e-08, device='cuda:0') Meta Loss : tensor(2.3538, device='cuda:0')
Epoch : 47 Iter : 0 VAT_l_f Loss : tensor(-1.0421e-08, device='cuda:0') Meta Loss : tensor(2.3292, device='cuda:0')
