Files already downloaded and verified
Files already downloaded and verified
Epoch : 22 Iter : 100 VAT_l_f Loss : tensor(3.0110, device='cuda:0') Meta Loss : tensor(0.9035, device='cuda:0')
Epoch : 22 Iter : 200 VAT_l_f Loss : tensor(2.8874, device='cuda:0') Meta Loss : tensor(0.9382, device='cuda:0')
Epoch : 22 Iter : 300 VAT_l_f Loss : tensor(3.1874, device='cuda:0') Meta Loss : tensor(0.8902, device='cuda:0')
Epoch : 23 Iter : 0 VAT_l_f Loss : tensor(3.5286, device='cuda:0') Meta Loss : tensor(1.0081, device='cuda:0')
Epoch : 23 Iter : 100 VAT_l_f Loss : tensor(3.2475, device='cuda:0') Meta Loss : tensor(0.8975, device='cuda:0')
Epoch : 23 Iter : 200 VAT_l_f Loss : tensor(3.4811, device='cuda:0') Meta Loss : tensor(0.9157, device='cuda:0')
Epoch : 23 Iter : 300 VAT_l_f Loss : tensor(3.3862, device='cuda:0') Meta Loss : tensor(0.8589, device='cuda:0')
Epoch : 24 Iter : 0 VAT_l_f Loss : tensor(3.4777, device='cuda:0') Meta Loss : tensor(0.9134, device='cuda:0')
Epoch : 24 Iter : 100 VAT_l_f Loss : tensor(3.5401, device='cuda:0') Meta Loss : tensor(0.9038, device='cuda:0')
Epoch : 24 Iter : 200 VAT_l_f Loss : tensor(3.1842, device='cuda:0') Meta Loss : tensor(0.9272, device='cuda:0')
Epoch : 24 Iter : 300 VAT_l_f Loss : tensor(3.1495, device='cuda:0') Meta Loss : tensor(0.8910, device='cuda:0')
Epoch : 25 Iter : 0 VAT_l_f Loss : tensor(3.3024, device='cuda:0') Meta Loss : tensor(0.9102, device='cuda:0')
Epoch : 25 Iter : 100 VAT_l_f Loss : tensor(3.1743, device='cuda:0') Meta Loss : tensor(0.9159, device='cuda:0')
Epoch : 25 Iter : 200 VAT_l_f Loss : tensor(3.0402, device='cuda:0') Meta Loss : tensor(0.9450, device='cuda:0')
Epoch : 25 Iter : 300 VAT_l_f Loss : tensor(2.9581, device='cuda:0') Meta Loss : tensor(0.9372, device='cuda:0')
Train accuracy : tensor(0.9688, device='cuda:0')
Test accuracy : tensor(0.6100, device='cuda:0')
Epoch : 26 Iter : 0 VAT_l_f Loss : tensor(3.4613, device='cuda:0') Meta Loss : tensor(0.8974, device='cuda:0')
Epoch : 26 Iter : 100 VAT_l_f Loss : tensor(3.4314, device='cuda:0') Meta Loss : tensor(0.9075, device='cuda:0')
Epoch : 26 Iter : 200 VAT_l_f Loss : tensor(3.2875, device='cuda:0') Meta Loss : tensor(0.8782, device='cuda:0')
Epoch : 26 Iter : 300 VAT_l_f Loss : tensor(3.3065, device='cuda:0') Meta Loss : tensor(0.8766, device='cuda:0')
Epoch : 27 Iter : 0 VAT_l_f Loss : tensor(3.2002, device='cuda:0') Meta Loss : tensor(0.8610, device='cuda:0')
Epoch : 27 Iter : 100 VAT_l_f Loss : tensor(2.7367, device='cuda:0') Meta Loss : tensor(0.8535, device='cuda:0')
Epoch : 27 Iter : 200 VAT_l_f Loss : tensor(3.2007, device='cuda:0') Meta Loss : tensor(0.9088, device='cuda:0')
Epoch : 27 Iter : 300 VAT_l_f Loss : tensor(3.3168, device='cuda:0') Meta Loss : tensor(0.8581, device='cuda:0')
Epoch : 28 Iter : 0 VAT_l_f Loss : tensor(3.1771, device='cuda:0') Meta Loss : tensor(0.8543, device='cuda:0')
Epoch : 28 Iter : 100 VAT_l_f Loss : tensor(3.4286, device='cuda:0') Meta Loss : tensor(0.8744, device='cuda:0')
